z(redshift),mu (distance modulus),,
0.20961,39.48,,
0.307786,40.67,,
0.293582,40.77,,
0.280855,41.2,,
0.340192,41.44,,
0.419368,42.13,,
0.27095,40.75,,
0.379401,41.59,,
0.404404,41.84,,
0.135691,38.78,,
0.189457,39.45,,
0.348806,41.4,,
0.435745,41.73,,
0.337542,41.52,,
0.198704,39.46,,
0.290371,40.97,,
0.375712,41.72,,
0.204807,39.83,,
0.108128,38.46,,
0.299569,40.81,,
0.42204,41.88,,
0.390557,41.11,,
0.373119,41.81,,
0.211779,40,,
0.301347,40.8,,
0.377305,41.3,,
0.363129,41.4,,
0.305661,40.79,,
0.365467,41.05,,
0.165901,39.23,,
0.23826,40.51,,
0.323773,40.98,,
0.393369,41.96,,
0.306576,40.47,,
0.335856,41.18,,
0.251664,40.66,,
0.358376,41.41,,
0.368422,41.05,,
0.454329,41.72,,
0.267532,41,,
0.314419,41.2,,
0.490074,41.89,,
0.20939,39.67,,
0.36156,41.51,,
0.362181,41.26,,
0.370739,41.17,,
0.304982,40.85,,
0.329251,40.96,,
0.108547,38.48,,
0.42774,41.35,,
0.409255,41.7,,
0.138642,39.34,,
0.473334,42.83,,
0.359687,41.44,,
0.50792,42.27,,
0.347123,41.1,,
0.486695,41.51,,
0.323596,41.3,,
0.56665,42.97,,
0.432962,41.43,,
0.378479,41.67,,
0.189116,39.43,,
0.295639,41.16,,
0.089163,37.86,,
0.324839,41,,
0.420973,41.57,,
0.37864,41.34,,
0.325169,40.52,,
0.342403,40.93,,
0.395454,41.71,,
0.130028,38.61,,
0.350224,41.38,,
0.330463,41.15,,
0.213354,40.22,,
0.262783,40.48,,
0.180465,39.49,,
0.191139,39.95,,
0.31988,40.51,,
0.268893,40.85,,
0.118129,38.57,,
0.216312,39.76,,
0.161489,39.29,,
0.399991,41.56,,
0.290479,40.72,,
0.245075,40.36,,
0.292252,40.79,,
0.304287,40.97,,
0.174404,39.42,,
0.16551,39.35,,
0.333268,41.07,,
0.147551,39.94,,
0.417071,41.89,,
0.341914,40.98,,
0.259082,40.68,,
0.108225,38.47,,
0.161011,39.17,,
0.213123,39.92,,
0.377482,41.56,,
0.232672,40.4,,
0.249841,40.24,,
0.231138,40.26,,
0.518923,42.43,,
0.289763,40.97,,
0.086578,37.88,,
0.35647,41.54,,
0.188168,40.16,,
0.419444,41.61,,
0.313434,40.83,,
0.298629,40.44,,
0.062861,37.15,,
0.262001,40.93,,
0.393544,41.43,,
0.308008,41.06,,
0.277701,40.7,,
0.181404,39.58,,
0.345246,41.34,,
0.427714,42.11,,
0.371731,41.43,,
0.373667,41.73,,
0.360407,41.75,,
0.290675,40.57,,
0.344426,40.81,,
0.296289,40.63,,
0.39189,41.83,,
0.362084,41.65,,
0.496252,41.71,,
0.441182,41.7,,
0.452051,41.97,,
0.394945,41.6,,
0.245025,40.46,,
0.402323,41.32,,
0.465436,41.84,,
0.34916,41.04,,
0.306777,40.68,,
0.2822,40.48,,
0.161989,39.27,,
0.221952,40.36,,
0.322057,41.07,,
0.252225,40.32,,
0.377309,41,,
0.27714,40.72,,
0.229587,40.45,,
0.220282,40.07,,
0.121242,38.68,,
0.156291,39.4,,
0.411141,41.8,,
0.447846,42.25,,
0.433032,41.41,,
0.130555,38.8,,
0.238652,40.7,,
0.377728,41.32,,
0.300656,40.73,,
0.153204,39.96,,
0.179972,39.73,,
0.368966,41.3,,
0.347576,41.65,,
0.174074,39.32,,
0.296412,40.66,,
0.396531,41.57,,
0.045915,36.56,,
0.280304,40.75,,
0.207705,39.97,,
0.236918,40.06,,
0.309632,40.83,,
0.280661,40.8,,
0.377678,41.2,,
0.067072,37.22,,
0.470141,41.84,,
0.356765,41.05,,
0.272471,40.52,,
0.281345,40.25,,
0.295061,40.82,,
0.273259,40.31,,
0.190934,39.62,,
0.124488,38.62,,
0.186455,39.74,,
0.234549,39.99,,
0.194825,39.67,,
0.305949,40.4,,
0.258234,39.93,,
0.057385,36.99,,
0.273265,40.7,,
0.325731,40.55,,
0.43587,41.63,,
0.508965,42.44,,
0.280494,40.83,,
0.362142,41.36,,
0.204064,39.64,,
0.353482,41.23,,
0.304822,40.91,,
0.16744,40.36,,
0.217546,39.7,,
0.33504,41.15,,
0.253282,40.05,,
0.381163,41.13,,
0.414257,41.93,,
0.180212,39.6,,
0.09422,38.03,,
0.298042,40.72,,
0.305137,40.95,,
0.110217,38.25,,
0.364341,41.77,,
0.362359,41.53,,
0.204617,39.99,,
0.254494,40.86,,
0.196892,39.57,,
0.525075,42.08,,
0.393925,42.08,,
0.280062,40.89,,
0.515493,41.59,,
0.250355,40.68,,
0.227416,39.48,,
0.352531,41.4,,
0.449808,42.21,,
0.372939,42.04,,
0.188077,39.41,,
0.191381,39.91,,
0.310062,41.2,,
0.402124,41.87,,
0.488121,41.97,,
0.37894,41.61,,
0.406559,42.01,,
0.360618,41.23,,
0.332633,41.59,,
0.238121,40.19,,
0.407556,42.02,,
0.369048,41.32,,
0.428635,41.76,,
0.212659,39.84,,
0.371262,41.53,,
0.076023,37.59,,
0.335924,41.14,,
0.441372,41.97,,
0.351569,41.28,,
0.25857,40.55,,
0.554141,42.49,,
0.371314,41.5,,
0.439722,41.84,,
0.408152,41.16,,
0.268761,40.6,,
0.186112,39.45,,
0.291349,40.71,,
0.237556,40.41,,
0.193779,40.49,,
0.700345,42.24,,
0.189195,39.8,,
0.43608,41.66,,
0.381125,41.48,,
0.479268,41.86,,
0.214981,40.07,,
0.197704,40.02,,
0.278296,40.4,,
0.361196,41.08,,
0.437935,42.23,,
0.55816,42.15,,
0.496475,41.47,,
0.423438,41.91,,
0.394218,41.57,,
0.117566,38.63,,
0.215368,40.59,,
0.43623,41.81,,
0.398215,41.38,,
0.145387,39.18,,
0.110133,39.6,,
0.377698,41.47,,
0.281658,40.75,,
0.267374,40.5,,
0.305679,41.21,,
0.350268,41.37,,
0.378093,41.15,,
0.291077,40.8,,
0.220272,40.19,,
0.298235,40.46,,
0.294362,40.99,,
0.536229,42.56,,
0.228429,40.35,,
0.325121,41.05,,
