,Name,log(Mb),e_log(Mb),Inc,e_Inc,Vf,e_Vf,V2exp,e_V2exp,V2eff,e_V2eff,Vmax,e_Vmax,Wp20,e_Wp20,Wm50,e_Wm50,Wm50c,e_Wm50c
57,NGC4051,10.71,0.16,49,3,157,10.9,155,10.2,0,0,161,9,353.8,18,326,16.9,320.7,16.6
58,NGC4068,8.51,0.07,44,6,0,0,27,3.4,40.4,6.6,41.9,6.7,116.6,13.6,93.6,12.9,92.1,12.8
59,NGC4085,10.1,0.15,82,2,131.5,6.5,127.2,4.9,128.4,4.9,136,7.4,307,7.2,285.8,8.1,279.7,8.1
60,NGC4088,10.81,0.15,69,2,171.7,8.4,166.3,8.3,174,6.6,182,6.6,399.5,7.3,363.1,13.9,354.5,13.8
61,NGC4100,10.53,0.15,73,2,158.2,8.2,173.8,6.5,192,4.4,195,6.4,422.5,10.1,405.7,9.1,400.5,9.1
62,NGC4138,10.38,0.16,53,3,147.3,18,183.3,16.4,186.4,16.4,195,10.3,412,19.1,391.9,17.4,381.9,19.9
63,NGC4157,10.8,0.15,82,3,184.7,9.3,189.3,8.5,200.4,7.4,201,7.1,429.2,7.7,402.9,14.3,399.9,14.3
64,NGC4183,10,0.14,82,2,110.6,6.6,103.1,5.2,114.2,6.1,115,6.1,258.5,7.1,241.3,15,238.3,15
65,NGC4217,10.66,0.16,86,2,181.3,9.1,184.4,6.4,190.8,5.6,191,6.4,422,13,396,19,388.9,19
66,NGC4559,10.24,0.27,67,1,121.2,5.6,104.1,5.7,113,4.7,124,4.4,278.1,5.4,262.9,9.2,259.6,9.2
67,NGC5005,10.96,0.13,68,2,262.2,22.8,0,0,264.7,22.5,265,22.5,613.7,13.2,0,0,0,0
68,NGC5033,10.85,0.27,66,1,194.2,4.7,219.1,3.4,224.4,8.2,225,8.2,492.6,5.5,491.5,18.4,480.5,18.4
69,NGC5055,10.96,0.1,55,6,179,14.2,204,15,206,15.2,206,15.1,488.3,36.2,476.1,34.9,0,0
70,NGC5371,11.27,0.24,53,2,209.5,7.4,240.4,7,241.2,7,242,7,523.4,15.4,507.1,13.5,0,0
71,NGC5585,9.57,0.27,51,2,90.3,3.7,72.4,3.2,77.6,4.4,92.3,3,208.5,7.1,193,9.7,191.1,9.7
72,NGC5907,11.06,0.1,88,2,215,3.8,235,4,230.3,2,235,4,490.3,4,481.3,8,478.3,8
73,NGC5985,11.08,0.24,60,2,293.6,10.5,294.3,8,289.2,8.7,305,11.8,622.4,14.9,635.1,23.7,627,23.7
74,NGC6015,10.38,0.27,60,2,154.1,8.1,149,3.8,149,5,166,7.1,361.4,8.8,354.5,10.7,351,10.7
75,NGC6195,11.35,0.13,62,5,251.7,15.1,251.3,14.4,257.7,19.5,258,19.5,675,34.3,620.6,34,595.7,33
76,NGC6503,9.94,0.09,74,2,116.3,3.3,119.9,2.3,118.8,2.3,121,2.3,263.2,12.3,172.7,50,169.6,50
77,NGC6674,11.18,0.19,54,6,241.3,19.1,288.4,23,280.8,21.9,291,23.2,561.2,42.7,552.5,45,543.9,44.4
78,NGC6789,7.86,0.09,43,7,0,0,58.5,12.1,0,0,60.4,12.3,0,0,0,0,0,0
79,NGC6946,10.61,0.28,38,2,158.9,14.8,177.2,9.4,177.8,8,181,9,396.3,19,0,0,0,0
80,NGC7331,11.15,0.13,75,2,239,6.2,246.6,6.4,256.1,5.5,257,5.5,546.6,7.2,532.1,9.4,530.1,9.4
81,NGC7793,9.67,0.09,47,9,0,0,98.4,15.3,114,18.4,116,18.5,265.3,39.2,242,37.8,232.4,36.4
82,NGC7814,10.59,0.11,90,1,218.9,7.2,228,5.2,229.6,6.5,265,15,512,20,466,8,462,8
83,UGC00128,10.2,0.14,57,10,129.6,15,113.7,12.9,126.4,14.3,134,15.3,287.4,33.5,265.9,33.7,255.2,32.6
84,UGC00191,9.45,0.26,45,5,0,0,73.7,9.9,76.7,6.8,83.8,7.4,203.6,18.8,185.3,21.4,182.4,21.2
85,UGC00634,9.8,0.22,37,8,0,0,75.2,14.5,94.7,17.6,108,20,259.2,48.3,239.3,45.9,236,45.3
86,UGC00731,9.41,0.26,57,3,73.3,4,63,3.3,50.9,3.3,74,3.8,174.1,22.8,0,0,0,0
87,UGC00891,8.88,0.27,60,5,0,0,44.8,2.7,47.5,2.8,63.8,3.3,158.2,10.6,133.9,14.6,132.8,14.6
88,UGC01281,8.75,0.06,90,1,55.2,4.2,54.4,4,55.3,4,56.9,4,135,4,122,8,119,8
89,UGC02259,9.18,0.26,41,3,86.2,6.2,81.8,5.1,83.4,5.2,90,6.2,208.8,14.4,192.1,16.7,190.5,16.6
90,UGC02487,11.43,0.16,36,5,332,40.8,365.6,45.2,364.5,44.3,383,46.2,833.6,100.4,843.8,103.1,823.4,100.7
91,UGC02885,11.41,0.12,64,4,289.5,15.9,285.2,13.9,285.9,14,305,14.4,646.4,23.4,644.2,23.3,628.6,22.9
92,UGC02916,10.97,0.15,50,5,182.7,17.3,210.6,22.7,207.1,16,218,17.7,492.1,38.3,417.7,33.2,404.7,32.4
93,UGC02953,11.15,0.28,50,4,264.9,16.7,317.3,18.6,318.2,18.9,319,18.9,642.3,38.3,621.4,37.3,617.5,37
94,UGC03205,10.84,0.2,67,4,219.6,10.9,235.6,9.1,218.9,8.5,237,12.2,478.2,16.3,471.5,16.1,462.8,16.4
95,UGC03546,10.73,0.24,55,5,196.9,15.3,197.9,12.5,194.3,17.8,262,75.3,456.6,28.3,0,0,0,0
96,UGC03580,10.09,0.23,63,4,126.2,5.6,96.9,12.2,96.6,7.1,131,5,271.6,11.9,0,0,0,0
97,UGC04278,9.33,0.26,90,3,91.4,7.3,75.8,4,76.7,4,92.8,8.8,206,10,185,18,183,18
98,UGC04325,9.28,0.27,41,3,90.9,6.4,91.4,6.3,91.5,6.3,92.7,6.4,228.6,14.7,208.8,14.9,204.2,14.7
99,UGC04483,7.69,0.09,58,3,0,0,17.1,1.7,19.8,1.4,24.3,2.4,89.6,22.2,0,0,0,0
100,UGC04499,9.35,0.26,50,3,72.8,4.4,62.9,4,70.3,4.2,74.3,4.2,180.1,9.4,156.6,10.6,152.7,10.4
101,UGC05005,9.79,0.18,41,10,98.9,22.3,65.9,15.8,78.1,32.4,100,22.4,0,0,169.2,37.8,0,0
102,UGC05253,11.03,0.23,37,4,213.7,21.4,245,22.8,245.9,22.9,248,23.5,568.3,56.3,526.7,50,521.8,49.6
103,UGC05414,9.12,0.27,55,3,0,0,55.4,3.2,0,0,61.4,3.3,146.5,8.8,129.4,9.3,125.7,9.2
104,UGC05716,9.24,0.22,54,10,73.1,9.4,51.7,6.8,57.5,7.3,74.7,9.7,170.6,22.7,156.4,22.9,153.3,22.6
105,UGC05721,9.01,0.26,61,5,79.7,7.8,56.9,6.1,69.2,5.7,82.6,6.1,205.8,11.6,186.4,12.1,182.9,11.9
106,UGC05750,9.5,0.18,64,10,0,0,66.8,13.5,78.3,12.9,78.9,12.9,0,0,90.1,18.2,0,0
107,UGC05764,8.41,0.26,60,10,0,0,55.7,5.7,55.1,5.6,55.8,5.7,142,15.9,122.4,16.5,121.2,16.4
108,UGC05829,9.22,0.26,34,10,0,0,51.8,14.3,62,16.8,68.6,18.5,171.7,44.6,144.9,38.3,143.1,37.9
